Bowling,O,M,R,W,ECON,0s,4s,6s,WD,NB,Match,innings,match_id
Marco Jansen,4,0,49,1,12.25,4,5,2,1,1,India vs South Africa,India,1
Keshav Maharaj,3,0,23,2,7.66,10,3,1,0,0,India vs South Africa,India,1
Kagiso Rabada,4,0,36,1,9.00,8,2,2,2,0,India vs South Africa,India,1
Aiden Markram,2,0,16,0,8.00,1,0,1,0,0,India vs South Africa,India,1
Anrich Nortje,4,0,26,2,6.50,7,2,0,2,0,India vs South Africa,India,1
Tabraiz Shamsi,3,0,26,0,8.66,4,1,1,1,0,India vs South Africa,India,1
Arshdeep Singh,4,0,20,2,5.00,12,2,0,0,0,India vs South Africa,India,1
Jasprit Bumrah,4,0,18,2,4.50,14,2,0,0,0,India vs South Africa,India,1
Axar Patel,4,0,49,1,12.25,8,5,3,2,0,India vs South Africa,India,1
Kuldeep Yadav,4,0,45,0,11.25,6,3,3,0,0,India vs South Africa,India,1
Hardik Pandya,3,0,20,3,6.66,9,1,1,1,1,India vs South Africa,India,1
Ravindra Jadeja,1,0,12,0,12.00,0,0,1,0,0,India vs South Africa,India,1
Reece Topley,3,0,25,1,8.33,8,3,1,0,0,India vs England,India,2
Jofra Archer,4,0,33,1,8.25,7,4,0,0,0,India vs England,India,2
Sam Curran,2,0,25,1,12.50,3,2,2,0,0,India vs England,India,2
Adil Rashid,4,0,25,1,6.25,9,3,0,0,0,India vs England,India,2
Chris Jordan,3,0,37,3,12.33,4,0,4,0,0,India vs England,India,2
Liam Livingstone,4,0,24,0,6.00,9,1,1,1,0,India vs England,India,2
Arshdeep Singh,2,0,17,0,8.50,5,3,0,0,0,India vs England,India,2
Jasprit Bumrah,2.4,0,12,2,4.50,8,1,0,0,0,India vs England,India,2
Axar Patel,4,0,23,3,5.75,10,0,1,0,0,India vs England,India,2
Kuldeep Yadav,4,0,19,3,4.75,12,2,0,0,0,India vs England,India,2
Ravindra Jadeja,3,0,16,0,5.33,6,1,0,0,0,India vs England,India,2
Hardik Pandya,1,0,14,0,14.00,1,1,1,0,0,India vs England,India,2
Marco Jansen,3,0,16,3,5.33,13,2,0,4,0,Afghanistan vs South Africa,Afghanistan,3
Keshav Maharaj,1,0,6,0,6.00,3,1,0,0,0,Afghanistan vs South Africa,Afghanistan,3
Kagiso Rabada,3,1,14,2,4.66,13,3,0,0,0,Afghanistan vs South Africa,Afghanistan,3
Anrich Nortje,3,0,7,2,2.33,14,0,0,1,0,Afghanistan vs South Africa,Afghanistan,3
Tabraiz Shamsi,1.5,0,6,3,3.27,9,1,0,1,0,Afghanistan vs South Africa,Afghanistan,3
Naveen-ul-Haq,3,0,15,0,5.00,12,2,0,1,0,Afghanistan vs South Africa,Afghanistan,3
Fazalhaq Farooqi,2,0,11,1,5.50,9,2,0,1,0,Afghanistan vs South Africa,Afghanistan,3
Rashid Khan,1,0,8,0,8.00,2,1,0,0,0,Afghanistan vs South Africa,Afghanistan,3
Azmatullah Omarzai,1.5,0,18,0,9.81,6,2,1,0,1,Afghanistan vs South Africa,Afghanistan,3
Gulbadin Naib,1,0,8,0,8.00,2,1,0,0,0,Afghanistan vs South Africa,Afghanistan,3
Tanzim Hasan Sakib,4,0,36,0,9.00,9,1,2,1,0,Afghanistan vs Bangladesh,Afghanistan,4
Taskin Ahmed,4,1,12,1,3.00,19,0,1,0,0,Afghanistan vs Bangladesh,Afghanistan,4
Shakib Al Hasan,4,0,19,0,4.75,11,0,1,0,0,Afghanistan vs Bangladesh,Afghanistan,4
Mustafizur Rahman,4,0,17,1,4.25,14,2,0,0,0,Afghanistan vs Bangladesh,Afghanistan,4
Rishad Hossain,4,0,26,3,6.50,13,3,0,1,0,Afghanistan vs Bangladesh,Afghanistan,4
Naveen-ul-Haq,3.5,0,26,4,6.78,12,3,1,0,0,Afghanistan vs Bangladesh,Afghanistan,4
Fazalhaq Farooqi,2,0,15,1,7.50,3,1,0,2,0,Afghanistan vs Bangladesh,Afghanistan,4
Mohammad Nabi,2,0,15,0,7.50,5,2,0,0,0,Afghanistan vs Bangladesh,Afghanistan,4
Rashid Khan,4,0,23,4,5.75,9,2,0,1,0,Afghanistan vs Bangladesh,Afghanistan,4
Noor Ahmad,4,0,13,0,3.25,18,2,0,0,0,Afghanistan vs Bangladesh,Afghanistan,4
Gulbadin Naib,2,0,5,1,2.50,7,0,0,0,0,Afghanistan vs Bangladesh,Afghanistan,4
Mitchell Starc,4,0,45,2,11.25,12,4,4,1,0,India vs Australia,India,5
Josh Hazlewood,4,0,14,1,3.50,13,1,0,0,0,India vs Australia,India,5
Pat Cummins,4,0,48,0,12.00,5,4,3,0,0,India vs Australia,India,5
Adam Zampa,4,0,41,0,10.25,2,1,3,0,0,India vs Australia,India,5
Marcus Stoinis,4,0,56,2,14.00,6,4,5,1,0,India vs Australia,India,5
Arshdeep Singh,4,0,37,3,9.25,12,4,2,2,0,India vs Australia,India,5
Jasprit Bumrah,4,0,29,1,7.25,11,3,1,0,0,India vs Australia,India,5
Axar Patel,3,0,21,1,7.00,9,2,1,0,0,India vs Australia,India,5
Hardik Pandya,4,0,47,0,11.75,8,4,3,1,0,India vs Australia,India,5
Kuldeep Yadav,4,0,24,2,6.00,9,1,1,0,0,India vs Australia,India,5
Ravindra Jadeja,1,0,17,0,17.00,0,2,1,0,0,India vs Australia,India,5
Marco Jansen,2,0,17,1,8.50,6,2,0,4,0,West Indies vs South Africa,West Indies,6
Aiden Markram,4,0,28,1,7.00,11,1,2,2,0,West Indies vs South Africa,West Indies,6
Keshav Maharaj,4,0,24,1,6.00,10,1,1,0,0,West Indies vs South Africa,West Indies,6
Anrich Nortje,4,0,26,0,6.50,13,1,2,2,0,West Indies vs South Africa,West Indies,6
Tabraiz Shamsi,4,0,27,3,6.75,11,3,1,0,0,West Indies vs South Africa,West Indies,6
Kagiso Rabada,2,0,11,1,5.50,7,0,1,0,0,West Indies vs South Africa,West Indies,6
Akeal Hosein,3,0,31,0,10.33,6,6,0,0,0,West Indies vs South Africa,West Indies,6
Andre Russell,4,0,19,2,4.75,13,2,0,1,0,West Indies vs South Africa,West Indies,6
Alzarri Joseph,4,0,25,2,6.25,9,1,0,1,0,West Indies vs South Africa,West Indies,6
Gudakesh Motie,1,0,20,0,20.00,0,3,1,0,0,West Indies vs South Africa,West Indies,6
Obed McCoy,1.1,0,15,0,12.85,3,1,1,3,0,West Indies vs South Africa,West Indies,6
Roston Chase,3,0,12,3,4.00,10,1,0,0,0,West Indies vs South Africa,West Indies,6
Reece Topley,3,0,29,1,9.66,8,2,2,0,0,U.S.A. vs England,United States of America,7
Jofra Archer,3,0,16,0,5.33,12,1,1,0,0,U.S.A. vs England,United States of America,7
Sam Curran,2,0,23,2,11.50,4,3,1,0,0,U.S.A. vs England,United States of America,7
Adil Rashid,4,0,13,2,3.25,13,0,0,1,0,U.S.A. vs England,United States of America,7
Liam Livingstone,4,0,24,1,6.00,10,1,1,0,0,U.S.A. vs England,United States of America,7
Chris Jordan,2.5,0,10,4,3.52,8,0,0,0,0,U.S.A. vs England,United States of America,7
Saurabh Netravalkar,2,0,21,0,10.50,5,1,2,0,0,U.S.A. vs England,United States of America,7
Harmeet Singh,2,0,36,0,18.00,3,0,5,2,0,U.S.A. vs England,United States of America,7
Nosthush Kenjige,2,0,19,0,9.50,3,3,0,0,0,U.S.A. vs England,United States of America,7
Ali Khan,2,0,26,0,13.00,2,2,0,2,0,U.S.A. vs England,United States of America,7
Shadley van Schalkwyk,1.4,0,15,0,9.00,2,2,0,0,1,U.S.A. vs England,United States of America,7
Ashton Agar,4,1,17,0,4.25,15,1,0,0,0,Afghanistan vs Australia,Afghanistan,8
Josh Hazlewood,4,0,39,0,9.75,10,4,2,1,0,Afghanistan vs Australia,Afghanistan,8
Pat Cummins,4,0,28,3,7.00,13,3,1,1,0,Afghanistan vs Australia,Afghanistan,8
Adam Zampa,4,0,28,2,7.00,9,2,1,1,0,Afghanistan vs Australia,Afghanistan,8
Glenn Maxwell,2,0,12,0,6.00,5,1,0,1,0,Afghanistan vs Australia,Afghanistan,8
Marcus Stoinis,2,0,19,1,9.50,4,1,1,0,0,Afghanistan vs Australia,Afghanistan,8
Naveen-ul-Haq,4,0,20,3,5.00,12,2,0,0,0,Afghanistan vs Australia,Afghanistan,8
Fazalhaq Farooqi,3,0,21,0,7.00,8,2,0,0,1,Afghanistan vs Australia,Afghanistan,8
Azmatullah Omarzai,1.2,0,10,1,7.50,5,2,0,0,0,Afghanistan vs Australia,Afghanistan,8
Mohammad Nabi,1,0,1,1,1.00,5,0,0,0,0,Afghanistan vs Australia,Afghanistan,8
Nangeyalia Kharote,1,0,13,0,13.00,1,1,1,0,0,Afghanistan vs Australia,Afghanistan,8
Rashid Khan,4,0,23,1,5.75,11,1,1,2,0,Afghanistan vs Australia,Afghanistan,8
Noor Ahmad,1,0,11,0,11.00,3,1,0,1,0,Afghanistan vs Australia,Afghanistan,8
Gulbadin Naib,4,0,20,4,5.00,13,1,1,0,0,Afghanistan vs Australia,Afghanistan,8
Mahedi Hasan,4,0,28,0,7.00,9,2,1,0,0,India vs Bangladesh,India,9
Shakib Al Hasan,3,0,37,1,12.33,5,2,3,1,0,India vs Bangladesh,India,9
Tanzim Hasan Sakib,4,0,32,2,8.00,11,1,3,1,0,India vs Bangladesh,India,9
Mustafizur Rahman,4,0,48,0,12.00,6,5,2,1,1,India vs Bangladesh,India,9
Rishad Hossain,3,0,43,2,14.33,4,2,4,2,0,India vs Bangladesh,India,9
Mahmudullah,2,0,8,0,4.00,5,0,0,1,0,India vs Bangladesh,India,9
Arshdeep Singh,4,0,30,2,7.50,12,4,1,1,0,India vs Bangladesh,India,9
Jasprit Bumrah,4,0,13,2,3.25,15,1,0,0,0,India vs Bangladesh,India,9
Axar Patel,2,0,26,0,13.00,2,2,2,0,0,India vs Bangladesh,India,9
Hardik Pandya,3,0,32,1,10.66,6,1,3,2,0,India vs Bangladesh,India,9
Ravindra Jadeja,3,0,24,0,8.00,5,2,1,0,0,India vs Bangladesh,India,9
Kuldeep Yadav,4,0,19,3,4.75,11,0,1,0,0,India vs Bangladesh,India,9
Akeal Hosein,3,0,13,0,4.33,8,1,0,0,0,West Indies vs U.S.A.,United States of America,10
Andre Russell,3.5,0,31,3,8.08,13,3,1,3,0,West Indies vs U.S.A.,United States of America,10
Obed McCoy,2,0,20,0,10.00,4,3,0,1,0,West Indies vs U.S.A.,United States of America,10
Alzarri Joseph,4,0,31,2,7.75,9,1,2,1,1,West Indies vs U.S.A.,United States of America,10
Gudakesh Motie,3,0,14,1,4.66,9,1,0,0,0,West Indies vs U.S.A.,United States of America,10
Roston Chase,4,0,19,3,4.75,9,1,0,1,0,West Indies vs U.S.A.,United States of America,10
Saurabh Netravalkar,2.5,0,31,0,10.94,7,2,3,0,0,West Indies vs U.S.A.,United States of America,10
Nosthush Kenjige,1,0,11,0,11.00,1,0,1,0,0,West Indies vs U.S.A.,United States of America,10
Ali Khan,2,0,18,0,9.00,5,1,1,2,0,West Indies vs U.S.A.,United States of America,10
Harmeet Singh,2,0,18,1,9.00,4,1,1,0,0,West Indies vs U.S.A.,United States of America,10
Shadley van Schalkwyk,2,0,29,0,14.50,3,3,2,1,0,West Indies vs U.S.A.,United States of America,10
Milind Kumar,1,0,22,0,22.00,1,0,3,1,0,West Indies vs U.S.A.,United States of America,10
Reece Topley,4,0,23,0,5.75,8,1,0,2,0,South Africa vs England,South Africa,11
Moeen Ali,3,0,25,1,8.33,6,2,1,0,0,South Africa vs England,South Africa,11
Jofra Archer,4,0,40,3,10.00,10,3,3,1,0,South Africa vs England,South Africa,11
Sam Curran,3,0,29,0,9.66,7,1,2,1,0,South Africa vs England,South Africa,11
Adil Rashid,4,0,20,1,5.00,9,1,0,0,0,South Africa vs England,South Africa,11
Mark Wood,2,0,22,0,11.00,4,4,0,2,0,South Africa vs England,South Africa,11
Marco Jansen,4,0,31,0,7.75,9,2,1,0,1,South Africa vs England,South Africa,11
Kagiso Rabada,4,0,32,2,8.00,9,3,1,2,0,South Africa vs England,South Africa,11
Keshav Maharaj,4,0,25,2,6.25,9,2,0,0,0,South Africa vs England,South Africa,11
Ottneil Baartman,3,0,27,1,9.00,7,3,1,0,0,South Africa vs England,South Africa,11
Anrich Nortje,4,0,35,1,8.75,4,4,0,1,0,South Africa vs England,South Africa,11
Aiden Markram,1,0,4,0,4.00,2,0,0,0,0,South Africa vs England,South Africa,11
Mitchell Starc,4,0,21,1,5.25,15,3,0,2,0,Bangladesh vs Australia,Bangladesh,12
Josh Hazlewood,4,1,25,0,6.25,12,1,1,1,0,Bangladesh vs Australia,Bangladesh,12
Pat Cummins,4,0,29,3,7.25,8,1,0,3,0,Bangladesh vs Australia,Bangladesh,12
Adam Zampa,4,0,24,2,6.00,10,3,0,0,0,Bangladesh vs Australia,Bangladesh,12
Marcus Stoinis,2,0,24,1,12.00,3,1,2,1,0,Bangladesh vs Australia,Bangladesh,12
Glenn Maxwell,2,0,14,1,7.00,3,1,0,0,0,Bangladesh vs Australia,Bangladesh,12
Mahedi Hasan,4,0,22,0,5.50,15,1,2,0,0,Bangladesh vs Australia,Bangladesh,12
Tanzim Hasan Sakib,1,0,9,0,9.00,2,1,0,0,0,Bangladesh vs Australia,Bangladesh,12
Taskin Ahmed,1.2,0,22,0,16.50,2,2,2,0,0,Bangladesh vs Australia,Bangladesh,12
Mustafizur Rahman,2,0,23,0,11.50,3,3,1,0,0,Bangladesh vs Australia,Bangladesh,12
Rishad Hossain,3,0,23,2,7.66,7,2,1,0,0,Bangladesh vs Australia,Bangladesh,12
Fazalhaq Farooqi,4,0,33,3,8.25,12,4,1,2,0,India vs Afghanistan,India,13
Mohammad Nabi,3,0,24,0,8.00,7,3,0,0,0,India vs Afghanistan,India,13
Naveen-ul-Haq,4,0,40,1,10.00,9,3,2,3,0,India vs Afghanistan,India,13
Rashid Khan,4,0,26,3,6.50,13,3,1,0,0,India vs Afghanistan,India,13
Noor Ahmad,3,0,30,0,10.00,4,1,2,1,0,India vs Afghanistan,India,13
Azmatullah Omarzai,2,0,23,0,11.50,3,2,1,1,0,India vs Afghanistan,India,13
Arshdeep Singh,4,0,36,3,9.00,12,3,2,5,0,India vs Afghanistan,India,13
Jasprit Bumrah,4,1,7,3,1.75,20,1,0,0,0,India vs Afghanistan,India,13
Axar Patel,3,1,15,1,5.00,11,0,1,0,0,India vs Afghanistan,India,13
Hardik Pandya,2,0,13,0,6.50,8,1,1,1,0,India vs Afghanistan,India,13
Kuldeep Yadav,4,0,32,2,8.00,11,2,2,1,1,India vs Afghanistan,India,13
Ravindra Jadeja,3,0,20,1,6.66,4,0,1,0,0,India vs Afghanistan,India,13
Reece Topley,3,0,26,0,8.66,8,2,1,4,0,West Indies vs England,West Indies,14
Mark Wood,3,0,36,0,12.00,7,3,2,4,0,West Indies vs England,West Indies,14
Jofra Archer,4,0,34,1,8.50,12,5,1,1,0,West Indies vs England,West Indies,14
Sam Curran,3,0,25,0,8.33,9,3,1,0,0,West Indies vs England,West Indies,14
Adil Rashid,4,0,21,1,5.25,10,0,1,1,0,West Indies vs England,West Indies,14
Moeen Ali,2,0,15,1,7.50,3,0,1,0,0,West Indies vs England,West Indies,14
Liam Livingstone,1,0,20,1,20.00,2,0,3,0,0,West Indies vs England,West Indies,14
Akeal Hosein,4,0,35,0,8.75,9,4,1,1,0,West Indies vs England,West Indies,14
Romario Shepherd,2,0,41,0,20.50,2,5,3,1,0,West Indies vs England,West Indies,14
Andre Russell,2,0,21,1,10.50,2,0,1,2,0,West Indies vs England,West Indies,14
Alzarri Joseph,2.3,0,32,0,12.80,2,2,2,0,0,West Indies vs England,West Indies,14
Gudakesh Motie,4,0,32,0,8.00,8,4,0,0,0,West Indies vs England,West Indies,14
Roston Chase,3,0,19,1,6.33,6,1,0,2,0,West Indies vs England,West Indies,14
Saurabh Netravalkar,4,0,21,2,5.25,12,2,0,0,0,South Africa vs U.S.A.,South Africa,15
Ali Khan,4,0,45,0,11.25,7,1,4,2,0,South Africa vs U.S.A.,South Africa,15
Jasdeep Singh,2,0,36,0,18.00,2,2,3,2,1,South Africa vs U.S.A.,South Africa,15
Nosthush Kenjige,3,0,29,0,9.66,2,2,1,0,0,South Africa vs U.S.A.,South Africa,15
Harmeet Singh,4,0,24,2,6.00,8,2,0,0,1,South Africa vs U.S.A.,South Africa,15
Steven Taylor,2,0,21,0,10.50,3,2,1,0,0,South Africa vs U.S.A.,South Africa,15
Corey Anderson,1,0,17,0,17.00,0,2,1,0,0,South Africa vs U.S.A.,South Africa,15
Marco Jansen,3,0,32,0,10.66,9,3,2,2,0,South Africa vs U.S.A.,South Africa,15
Aiden Markram,1,0,13,0,13.00,2,1,1,0,0,South Africa vs U.S.A.,South Africa,15
Kagiso Rabada,4,0,18,3,4.50,14,2,0,1,1,South Africa vs U.S.A.,South Africa,15
Keshav Maharaj,4,0,24,1,6.00,7,0,1,0,0,South Africa vs U.S.A.,South Africa,15
Anrich Nortje,4,0,37,1,9.25,10,2,3,1,0,South Africa vs U.S.A.,South Africa,15
Tabraiz Shamsi,4,0,50,1,12.50,5,3,4,2,0,South Africa vs U.S.A.,South Africa,15
Fazalhaq Farooqi,3,0,38,0,12.66,4,5,1,1,1,West Indies vs Afghanistan,West Indies,16
Azmatullah Omarzai,2,0,41,1,20.50,5,4,3,1,1,West Indies vs Afghanistan,West Indies,16
Rashid Khan,4,0,45,0,11.25,5,3,3,1,0,West Indies vs Afghanistan,West Indies,16
Naveen-ul-Haq,4,0,41,1,10.25,10,4,2,2,0,West Indies vs Afghanistan,West Indies,16
Noor Ahmad,4,0,20,0,5.00,6,0,0,0,0,West Indies vs Afghanistan,West Indies,16
Mohammad Nabi,1,0,15,0,15.00,2,0,2,0,0,West Indies vs Afghanistan,West Indies,16
Gulbadin Naib,2,0,14,2,7.00,4,0,1,0,0,West Indies vs Afghanistan,West Indies,16
Akeal Hosein,4,1,21,2,5.25,14,3,0,1,0,West Indies vs Afghanistan,West Indies,16
Andre Russell,2.2,0,17,1,7.28,6,1,1,0,0,West Indies vs Afghanistan,West Indies,16
Alzarri Joseph,3,0,30,1,10.00,7,4,1,1,0,West Indies vs Afghanistan,West Indies,16
Gudakesh Motie,4,0,28,2,7.00,12,1,2,0,0,West Indies vs Afghanistan,West Indies,16
Obed McCoy,3,0,14,3,4.66,9,1,0,0,0,West Indies vs Afghanistan,West Indies,16
Trent Boult,4,0,14,2,3.50,16,2,0,0,0,P.N.G. vs New Zealand,Papua New Guinea,17
Tim Southee,4,0,11,2,2.75,18,1,0,2,0,P.N.G. vs New Zealand,Papua New Guinea,17
Lockie Ferguson,4,4,0,3,0.00,24,0,0,0,0,P.N.G. vs New Zealand,Papua New Guinea,17
Ish Sodhi,3.4,0,29,2,7.90,9,3,1,1,0,P.N.G. vs New Zealand,Papua New Guinea,17
Mitchell Santner,4,0,17,1,4.25,14,1,0,1,0,P.N.G. vs New Zealand,Papua New Guinea,17
Kabua Morea,2.2,0,4,2,1.71,11,0,0,0,0,P.N.G. vs New Zealand,Papua New Guinea,17
Alei Nao,3,0,22,0,7.33,9,1,2,0,0,P.N.G. vs New Zealand,Papua New Guinea,17
Assad Vala,1,0,4,0,4.00,2,0,0,0,0,P.N.G. vs New Zealand,Papua New Guinea,17
Charles Amini,1,0,5,0,5.00,1,0,0,0,0,P.N.G. vs New Zealand,Papua New Guinea,17
Semo Kamea,3,0,23,1,7.66,8,4,0,0,0,P.N.G. vs New Zealand,Papua New Guinea,17
Chad Soper,1,0,14,0,14.00,2,1,1,0,0,P.N.G. vs New Zealand,Papua New Guinea,17
Norman Vanua,1,0,6,0,6.00,3,1,0,0,0,P.N.G. vs New Zealand,Papua New Guinea,17
Vivian Kingma,3,0,23,1,7.66,9,3,0,3,0,Sri Lanka vs Netherlands,Sri Lanka,18
Aryan Dutt,3,0,23,1,7.66,5,1,1,1,0,Sri Lanka vs Netherlands,Sri Lanka,18
Logan van Beek,4,0,45,2,11.25,8,1,4,2,0,Sri Lanka vs Netherlands,Sri Lanka,18
Paul van Meekeren,3,0,37,1,12.33,4,3,2,2,0,Sri Lanka vs Netherlands,Sri Lanka,18
Tim Pringle,4,0,41,1,10.25,3,3,2,0,0,Sri Lanka vs Netherlands,Sri Lanka,18
Bas de Leede,3,0,32,0,10.66,5,1,2,0,0,Sri Lanka vs Netherlands,Sri Lanka,18
Angelo Mathews,2,0,20,0,10.00,7,0,2,1,1,Sri Lanka vs Netherlands,Sri Lanka,18
Nuwan Thushara,3.4,0,24,3,6.54,11,2,1,2,0,Sri Lanka vs Netherlands,Sri Lanka,18
Maheesh Theekshana,3,0,25,1,8.33,7,1,2,1,0,Sri Lanka vs Netherlands,Sri Lanka,18
Wanindu Hasaranga,4,0,25,2,6.25,10,1,1,0,0,Sri Lanka vs Netherlands,Sri Lanka,18
Dasun Shanaka,1,0,10,1,10.00,1,1,0,0,0,Sri Lanka vs Netherlands,Sri Lanka,18
Matheesha Pathirana,3,0,12,2,4.00,10,0,0,1,0,Sri Lanka vs Netherlands,Sri Lanka,18
Sompal Kami,3,0,10,2,3.33,12,1,0,0,0,Bangladesh vs Nepal,Bangladesh,19
Dipendra Singh Airee,3.3,0,22,2,6.28,11,3,0,0,0,Bangladesh vs Nepal,Bangladesh,19
Rohit Paudel,4,0,20,2,5.00,11,2,0,0,0,Bangladesh vs Nepal,Bangladesh,19
Sandeep Lamichhane,4,1,17,2,4.25,15,2,0,1,0,Bangladesh vs Nepal,Bangladesh,19
Kushal Bhurtel,4,0,22,0,5.50,12,1,1,2,0,Bangladesh vs Nepal,Bangladesh,19
Abinash Bohara,1,0,10,0,10.00,3,1,0,2,0,Bangladesh vs Nepal,Bangladesh,19
Tanzim Hasan Sakib,4,2,7,4,1.75,21,1,0,1,0,Bangladesh vs Nepal,Bangladesh,19
Taskin Ahmed,4,0,29,1,7.25,13,4,1,1,0,Bangladesh vs Nepal,Bangladesh,19
Mustafizur Rahman,4,1,7,3,1.75,20,1,0,0,0,Bangladesh vs Nepal,Bangladesh,19
Rishad Hossain,3,0,15,0,5.00,13,1,0,1,0,Bangladesh vs Nepal,Bangladesh,19
Shakib Al Hasan,2.2,0,9,2,3.85,7,0,0,0,0,Bangladesh vs Nepal,Bangladesh,19
Mahmudullah,2,0,15,0,7.50,6,1,1,0,0,Bangladesh vs Nepal,Bangladesh,19
Shaheen Shah Afridi,4,0,22,3,5.50,16,3,0,1,0,Ireland vs Pakistan,Ireland,20
Mohammad Amir,4,1,11,2,2.75,20,2,0,0,0,Ireland vs Pakistan,Ireland,20
Haris Rauf,4,0,17,1,4.25,16,1,1,0,0,Ireland vs Pakistan,Ireland,20
Abbas Afridi,3,0,31,0,10.33,5,1,2,2,0,Ireland vs Pakistan,Ireland,20
Shadab Khan,1,0,11,0,11.00,3,1,1,0,0,Ireland vs Pakistan,Ireland,20
Imad Wasim,4,0,8,3,2.00,17,0,0,0,0,Ireland vs Pakistan,Ireland,20
Mark Adair,4,0,24,1,6.00,14,1,1,1,0,Ireland vs Pakistan,Ireland,20
Josh Little,3,0,17,0,5.66,11,3,0,0,0,Ireland vs Pakistan,Ireland,20
Barry McCarthy,4,1,15,3,3.75,15,1,0,1,0,Ireland vs Pakistan,Ireland,20
Ben White,2,0,11,1,5.50,5,1,0,0,0,Ireland vs Pakistan,Ireland,20
Curtis Campher,4,0,24,2,6.00,12,2,1,0,0,Ireland vs Pakistan,Ireland,20
Gareth Delany,1.5,0,19,0,10.36,3,0,2,1,0,Ireland vs Pakistan,Ireland,20
Ashton Agar,4,0,39,1,9.75,6,0,3,1,0,Scotland vs Australia,Scotland,21
Mitchell Starc,4,0,31,0,7.75,10,1,2,1,0,Scotland vs Australia,Scotland,21
Nathan Ellis,4,0,34,1,8.50,7,2,1,3,0,Scotland vs Australia,Scotland,21
Glenn Maxwell,4,0,44,2,11.00,8,2,4,1,0,Scotland vs Australia,Scotland,21
Adam Zampa,4,0,30,1,7.50,8,1,2,0,0,Scotland vs Australia,Scotland,21
Michael Leask,4,0,39,0,9.75,8,2,3,0,0,Scotland vs Australia,Scotland,21
Brad Wheal,3.4,1,28,1,7.63,12,4,1,0,0,Scotland vs Australia,Scotland,21
Mark Watt,4,0,34,2,8.50,10,6,0,1,0,Scotland vs Australia,Scotland,21
Chris Sole,3,0,33,0,11.00,4,3,1,1,0,Scotland vs Australia,Scotland,21
Safyaan Sharif,4,0,42,2,10.50,8,2,3,3,0,Scotland vs Australia,Scotland,21
Chris Greaves,1,0,4,0,4.00,2,0,0,0,0,Scotland vs Australia,Scotland,21
David Wiese,2,0,6,1,3.00,9,1,0,0,0,England vs Namibia,England,22
Ruben Trumpelmann,2,0,31,2,15.50,3,2,3,1,0,England vs Namibia,England,22
Bernard Scholtz,2,0,24,1,12.00,4,1,2,0,0,England vs Namibia,England,22
Gerhard Erasmus,2,0,26,0,13.00,2,2,1,0,0,England vs Namibia,England,22
Jack Brassell,2,0,32,0,16.00,2,3,2,0,0,England vs Namibia,England,22
Reece Topley,2,0,6,0,3.00,8,0,0,0,1,England vs Namibia,England,22
Jofra Archer,2,0,15,1,7.50,7,1,1,1,0,England vs Namibia,England,22
Sam Curran,2,0,13,0,6.50,5,2,0,0,0,England vs Namibia,England,22
Chris Jordan,2,0,19,1,9.50,4,0,2,0,0,England vs Namibia,England,22
Adil Rashid,2,0,29,0,14.50,3,1,3,1,0,England vs Namibia,England,22
Trent Boult,4,1,7,2,1.75,20,1,0,0,0,Uganda vs New Zealand,Uganda,23
Tim Southee,4,1,4,3,1.00,20,0,0,0,0,Uganda vs New Zealand,Uganda,23
Mitchell Santner,3.4,0,8,2,2.18,17,0,0,3,0,Uganda vs New Zealand,Uganda,23
Lockie Ferguson,4,0,9,1,2.25,20,1,0,2,0,Uganda vs New Zealand,Uganda,23
Rachin Ravindra,3,1,9,2,3.00,12,1,0,0,0,Uganda vs New Zealand,Uganda,23
Cosmas Kyewuta,2,0,13,0,6.50,6,1,0,2,1,Uganda vs New Zealand,Uganda,23
Juma Miyagi,2.2,0,16,0,6.85,7,3,0,0,0,Uganda vs New Zealand,Uganda,23
Riazat Ali Shah,1,0,10,1,10.00,3,1,0,4,0,Uganda vs New Zealand,Uganda,23
Sompal Kami,2,1,6,0,3.00,10,1,0,1,0,South Africa vs Nepal,South Africa,24
Dipendra Singh Airee,4,0,21,3,5.25,9,1,0,1,0,South Africa vs Nepal,South Africa,24
Karan KC,1,0,9,0,9.00,3,2,0,0,0,South Africa vs Nepal,South Africa,24
Kushal Malla,2,0,17,0,8.50,6,2,1,0,0,South Africa vs Nepal,South Africa,24
Sandeep Lamichhane,4,0,18,0,4.50,11,1,0,0,0,South Africa vs Nepal,South Africa,24
Kushal Bhurtel,4,0,19,4,4.75,12,0,1,1,0,South Africa vs Nepal,South Africa,24
Abinash Bohara,3,0,19,0,6.33,8,3,0,0,0,South Africa vs Nepal,South Africa,24
Marco Jansen,4,0,16,0,4.00,16,1,1,0,0,South Africa vs Nepal,South Africa,24
Kagiso Rabada,2,0,17,0,8.50,6,2,1,0,0,South Africa vs Nepal,South Africa,24
Ottneil Baartman,4,0,20,0,5.00,15,3,0,0,0,South Africa vs Nepal,South Africa,24
Anrich Nortje,4,0,27,1,6.75,15,3,1,3,0,South Africa vs Nepal,South Africa,24
Tabraiz Shamsi,4,0,19,4,4.75,12,0,1,1,0,South Africa vs Nepal,South Africa,24
Aiden Markram,2,0,8,1,4.00,4,0,0,0,0,South Africa vs Nepal,South Africa,24
Fazalhaq Farooqi,4,0,16,3,4.00,17,1,0,1,0,P.N.G. vs Afghanistan,Papua New Guinea,25
Mohammad Nabi,1,0,9,0,9.00,1,1,0,0,0,P.N.G. vs Afghanistan,Papua New Guinea,25
